Id,Transaction
1,"beer,wine,cheese"
2,"beer,potato,chips"
3,"eggs,flower,butter,cheese"
4,"eggs,flower,butter,beer,potato chips"
5,"wine, cheese"
6,potato chips
7,"eggs,flower,butter,wine,cheese"
8,"eggs,flower,butter,beer,potato chips"
9,"wine,beer"
10,"beer,potato chips"
11,"butter,eggs"
12,"beer,potato chips"
13,"flower, eggs"
14,"beer,potato chips"
15,"eggs,flower,butter,wine,cheese"
16,"beer,wine,potato chips,cheese"
17,"wine,cheese"
18,"beer,potato chips"
19,"wine,cheese"
20,"beer,potato chips"
